"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","TeamCity","0","Identity & Access","6","0","Access Tokens","0"
"0","TeamCity","0","Projects","4","0","Lifecycle","0"
"0","TeamCity","0","Identity & Access","5","0","Permissions","0"
"0","TeamCity","0","Build Steps","4","0","Lifecycle","0"
"0","TeamCity","0","Identity & Access","6","0","Users","0"
"0","TeamCity","0","Build Steps","3","0","Configuration Persistence","0"
"0","TeamCity","0","Build Execution","1","0","Cancellation","0"
"0","TeamCity","0","Projects","1","0","Authorization","0"
"0","TeamCity","0","Projects","3","0","Validation","0"
"0","TeamCity","0","Projects","2","0","Hierarchy","0"
"0","TeamCity","0","Build Configurations","5","0","Lifecycle","0"
"0","TeamCity","0","Build Configurations","3","0","Validation","0"
"0","TeamCity","0","Build Execution","2","0","Manual Run","0"
"0","TeamCity","0","Build Configurations","2","0","Scoping","0"
"0","TeamCity","0","Build Steps","1","0","Validation","0"
"0","TeamCity","0","Build Configurations","1","0","Authorization","0"
"0","TeamCity","0","Build Execution","1","0","Runtime Parameters","0"
